item_id,kind,title,description,applies_to,jurisdiction,evidence_span_ids,conditions_required,conditions_excluded,status,version,blockers,details
SIZE-P11,comparison,P11 illustrative comparison,Your baby is about the size of a strawberry.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 11, ""end"": 11}","[""IN""]",[],[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""profile_id"": ""P11"", ""measurement_basis"": ""CRL/editorial scale"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""strawberry"", ""image_path"": null, ""image_alt"": ""Your baby is about the size of a strawberry."", ""hide_reason"": ""Teammate editorial proposal: measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""About 40–45 mm"", ""proposal_source"": ""Team-supplied correction plan section 12.1; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""pending"", ""artwork_status"": ""deferred_by_review_section_12_4""}"
SIZE-P12,comparison,P12 illustrative comparison,Your baby is about the size of a small lime.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 12, ""end"": 12}","[""IN""]",[],[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""profile_id"": ""P12"", ""measurement_basis"": ""CRL/editorial scale"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""lime"", ""image_path"": null, ""image_alt"": ""Your baby is about the size of a small lime."", ""hide_reason"": ""Teammate editorial proposal: measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""About 50–60 mm"", ""proposal_source"": ""Team-supplied correction plan section 12.1; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""pending"", ""artwork_status"": ""deferred_by_review_section_12_4""}"
SIZE-P13,comparison,P13 illustrative comparison,Your baby is about the size of a lemon.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 13, ""end"": 13}","[""IN""]",[],[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""profile_id"": ""P13"", ""measurement_basis"": ""CRL/editorial scale"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""lemon"", ""image_path"": null, ""image_alt"": ""Your baby is about the size of a lemon."", ""hide_reason"": ""Teammate editorial proposal: measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""About 65–75 mm"", ""proposal_source"": ""Team-supplied correction plan section 12.1; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""pending"", ""artwork_status"": ""deferred_by_review_section_12_4""}"
SIZE-P14,comparison,P14 illustrative comparison,Your baby is about the size of a guava.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 14, ""end"": 14}","[""IN""]",[],[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""profile_id"": ""P14"", ""measurement_basis"": ""CRL/editorial scale"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""guava"", ""image_path"": null, ""image_alt"": ""Your baby is about the size of a guava."", ""hide_reason"": ""Teammate editorial proposal: measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""About 80–90 mm CRL"", ""proposal_source"": ""Team-supplied correction plan section 12.1; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""pending"", ""artwork_status"": ""deferred_by_review_section_12_4""}"
SIZE-P15,comparison,P15 illustrative comparison,Your baby is about the size of a sweet lime (mosambi).,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 15, ""end"": 15}","[""IN""]",[],[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""profile_id"": ""P15"", ""measurement_basis"": ""CRL/editorial scale"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""mosambi"", ""image_path"": null, ""image_alt"": ""Your baby is about the size of a sweet lime (mosambi)."", ""hide_reason"": ""Teammate editorial proposal: measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""About 95–105 mm CRL"", ""proposal_source"": ""Team-supplied correction plan section 12.1; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""pending"", ""artwork_status"": ""deferred_by_review_section_12_4""}"
SIZE-P16,comparison,P16 illustrative comparison,Your baby is about the size of an avocado.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 16, ""end"": 16}","[""IN""]",[],[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""profile_id"": ""P16"", ""measurement_basis"": ""CRL/editorial scale"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""avocado"", ""image_path"": null, ""image_alt"": ""Your baby is about the size of an avocado."", ""hide_reason"": ""Teammate editorial proposal: measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""About 110–120 mm CRL"", ""proposal_source"": ""Team-supplied correction plan section 12.1; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""pending"", ""artwork_status"": ""deferred_by_review_section_12_4""}"
SIZE-P17,comparison,P17 illustrative comparison,Your baby is about the size of a pomegranate.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 17, ""end"": 17}","[""IN""]",[],[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""profile_id"": ""P17"", ""measurement_basis"": ""CRL/editorial scale"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""pomegranate"", ""image_path"": null, ""image_alt"": ""Your baby is about the size of a pomegranate."", ""hide_reason"": ""Teammate editorial proposal: measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""About 125–135 mm CRL"", ""proposal_source"": ""Team-supplied correction plan section 12.1; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""pending"", ""artwork_status"": ""deferred_by_review_section_12_4""}"
SIZE-P18,comparison,P18 illustrative comparison,Your baby is about the size of a bell pepper (shimla mirch).,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 18, ""end"": 18}","[""IN""]",[],[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""profile_id"": ""P18"", ""measurement_basis"": ""CRL/editorial scale"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""bell-pepper"", ""image_path"": null, ""image_alt"": ""Your baby is about the size of a bell pepper (shimla mirch)."", ""hide_reason"": ""Teammate editorial proposal: measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""About 135–145 mm CRL"", ""proposal_source"": ""Team-supplied correction plan section 12.1; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""pending"", ""artwork_status"": ""deferred_by_review_section_12_4""}"
SIZE-P19,comparison,P19 illustrative comparison,Your baby is about the size of a mango.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 19, ""end"": 19}","[""IN""]",[],[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""profile_id"": ""P19"", ""measurement_basis"": ""CRL/editorial scale"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""mango"", ""image_path"": null, ""image_alt"": ""Your baby is about the size of a mango."", ""hide_reason"": ""Teammate editorial proposal: measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""About 145–155 mm CRL"", ""proposal_source"": ""Team-supplied correction plan section 12.1; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""pending"", ""artwork_status"": ""deferred_by_review_section_12_4""}"
SIZE-P20,comparison,P20 illustrative comparison,Your baby is about the size of a small orange.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 20, ""end"": 20}","[""IN""]",[],[],[],draft,1.0.0,"[""Named clinical, India-localisation and licence review pending; product direction recorded 2026-09-11.""]","{""profile_id"": ""P20"", ""measurement_basis"": ""Round-object editorial comparison; measurement convention pending"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""small-orange"", ""image_path"": null, ""image_alt"": ""Your baby is about the size of a small orange."", ""hide_reason"": ""Product direction approved; measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""About 24–26 cm; mapping must be independently verified"", ""proposal_source"": ""Kajal product review 2026-09-11; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""product_approved_2026-09-11"", ""artwork_status"": ""deferred_pending_verification""}"
SIZE-P21,comparison,P21 illustrative comparison,Your baby is about the size of an orange.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 21, ""end"": 21}","[""IN""]",[],[],[],draft,1.0.0,"[""Named clinical, India-localisation and licence review pending; product direction recorded 2026-09-11.""]","{""profile_id"": ""P21"", ""measurement_basis"": ""Round-object editorial comparison; measurement convention pending"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""orange"", ""image_path"": null, ""image_alt"": ""Your baby is about the size of an orange."", ""hide_reason"": ""Product direction approved; measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""About 26–27 cm; mapping must be independently verified"", ""proposal_source"": ""Kajal product review 2026-09-11; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""product_approved_2026-09-11"", ""artwork_status"": ""deferred_pending_verification""}"
SIZE-P22,comparison,P22 illustrative comparison,Your baby is about the size of a grapefruit.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 22, ""end"": 22}","[""IN""]",[],[],[],draft,1.0.0,"[""Named clinical, India-localisation and licence review pending; product direction recorded 2026-09-11.""]","{""profile_id"": ""P22"", ""measurement_basis"": ""Round-object editorial comparison; measurement convention pending"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""grapefruit"", ""image_path"": null, ""image_alt"": ""Your baby is about the size of a grapefruit."", ""hide_reason"": ""Product direction approved; measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""About 27–28 cm; mapping must be independently verified"", ""proposal_source"": ""Kajal product review 2026-09-11; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""product_approved_2026-09-11"", ""artwork_status"": ""deferred_pending_verification""}"
SIZE-P23,comparison,P23 illustrative comparison,Your baby is about the size of a grapefruit.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 23, ""end"": 23}","[""IN""]",[],[],[],draft,1.0.0,"[""Named clinical, India-localisation and licence review pending; product direction recorded 2026-09-11.""]","{""profile_id"": ""P23"", ""measurement_basis"": ""Round-object editorial comparison; measurement convention pending"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""grapefruit"", ""image_path"": null, ""image_alt"": ""Your baby is about the size of a grapefruit."", ""hide_reason"": ""Product direction approved; measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""About 28–29 cm; mapping must be independently verified"", ""proposal_source"": ""Kajal product review 2026-09-11; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""product_approved_2026-09-11"", ""artwork_status"": ""deferred_pending_verification""}"
SIZE-P24,comparison,P24 illustrative comparison,Your baby is about the size of a small muskmelon (kharbuja).,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 24, ""end"": 24}","[""IN""]",[],[],[],draft,1.0.0,"[""Named clinical, India-localisation and licence review pending; product direction recorded 2026-09-11.""]","{""profile_id"": ""P24"", ""measurement_basis"": ""Round-object editorial comparison; measurement convention pending"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""small-muskmelon"", ""image_path"": null, ""image_alt"": ""Your baby is about the size of a small muskmelon (kharbuja)."", ""hide_reason"": ""Product direction approved; measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""About 29–31 cm; mapping must be independently verified"", ""proposal_source"": ""Kajal product review 2026-09-11; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""product_approved_2026-09-11"", ""artwork_status"": ""deferred_pending_verification""}"
SIZE-P25,comparison,P25 illustrative comparison,Your baby is about the size of a small muskmelon (kharbuja).,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 25, ""end"": 25}","[""IN""]",[],[],[],draft,1.0.0,"[""Named clinical, India-localisation and licence review pending; product direction recorded 2026-09-11.""]","{""profile_id"": ""P25"", ""measurement_basis"": ""Round-object editorial comparison; measurement convention pending"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""small-muskmelon"", ""image_path"": null, ""image_alt"": ""Your baby is about the size of a small muskmelon (kharbuja)."", ""hide_reason"": ""Product direction approved; measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""About 33–35 cm; mapping must be independently verified"", ""proposal_source"": ""Kajal product review 2026-09-11; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""product_approved_2026-09-11"", ""artwork_status"": ""deferred_pending_verification""}"
SIZE-P26,comparison,P26 illustrative comparison,Your baby is about the size of a small cabbage.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 26, ""end"": 26}","[""IN""]",[],[],[],draft,1.0.0,"[""Named clinical, India-localisation and licence review pending; product direction recorded 2026-09-11.""]","{""profile_id"": ""P26"", ""measurement_basis"": ""Round-object editorial comparison; measurement convention pending"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""small-cabbage"", ""image_path"": null, ""image_alt"": ""Your baby is about the size of a small cabbage."", ""hide_reason"": ""Product direction approved; measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""About 35–36 cm; mapping must be independently verified"", ""proposal_source"": ""Kajal product review 2026-09-11; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""product_approved_2026-09-11"", ""artwork_status"": ""deferred_pending_verification""}"
SIZE-P27,comparison,P27 illustrative comparison,Your baby now has roughly the overall bulk of a cauliflower.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 27, ""end"": 27}","[""IN""]",[],[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""profile_id"": ""P27"", ""measurement_basis"": ""Approximate bulk"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""cauliflower"", ""image_path"": null, ""image_alt"": ""Your baby now has roughly the overall bulk of a cauliflower."", ""hide_reason"": ""Teammate editorial proposal: measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""Roughly 0.8–0.9 kg"", ""proposal_source"": ""Team-supplied correction plan section 12.1; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""pending"", ""artwork_status"": ""deferred_by_review_section_12_4""}"
SIZE-P28,comparison,P28 illustrative comparison,Your baby now has roughly the overall bulk of a cabbage.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 28, ""end"": 28}","[""IN""]",[],[],[],draft,1.0.0,"[""Named clinical, India-localisation and licence review pending; product direction recorded 2026-09-11.""]","{""profile_id"": ""P28"", ""measurement_basis"": ""Approximate bulk; round-object mapping pending verification"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""cabbage"", ""image_path"": null, ""image_alt"": ""Your baby now has roughly the overall bulk of a cabbage."", ""hide_reason"": ""Product direction approved; measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""Roughly 0.9–1.1 kg; mapping must be independently verified"", ""proposal_source"": ""Kajal product review 2026-09-11; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""product_approved_2026-09-11"", ""artwork_status"": ""deferred_pending_verification""}"
SIZE-P29,comparison,P29 illustrative comparison,Your baby now has roughly the overall bulk of a cabbage.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 29, ""end"": 29}","[""IN""]",[],[],[],draft,1.0.0,"[""Named clinical, India-localisation and licence review pending; product direction recorded 2026-09-11.""]","{""profile_id"": ""P29"", ""measurement_basis"": ""Approximate bulk; round-object mapping pending verification"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""cabbage"", ""image_path"": null, ""image_alt"": ""Your baby now has roughly the overall bulk of a cabbage."", ""hide_reason"": ""Product direction approved; measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""Roughly 1.1–1.3 kg; mapping must be independently verified"", ""proposal_source"": ""Kajal product review 2026-09-11; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""product_approved_2026-09-11"", ""artwork_status"": ""deferred_pending_verification""}"
SIZE-P30,comparison,P30 illustrative comparison,Your baby now has roughly the overall bulk of a cabbage.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 30, ""end"": 30}","[""IN""]",[],[],[],draft,1.0.0,"[""Named content, clinical, India-localisation, licence and product review pending.""]","{""profile_id"": ""P30"", ""measurement_basis"": ""Approximate bulk"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""cabbage"", ""image_path"": null, ""image_alt"": ""Your baby now has roughly the overall bulk of a cabbage."", ""hide_reason"": ""Teammate editorial proposal: measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""Roughly 1.2–1.5 kg"", ""proposal_source"": ""Team-supplied correction plan section 12.1; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""pending"", ""artwork_status"": ""deferred_by_review_section_12_4""}"
SIZE-P31,comparison,P31 illustrative comparison,Your baby now has roughly the overall bulk of a honeydew melon.,"{""stage"": ""pregnancy"", ""unit"": ""week"", ""start"": 31, ""end"": 31}","[""IN""]",[],[],[],draft,1.0.0,"[""Named clinical, India-localisation and licence review pending; product direction recorded 2026-09-11.""]","{""profile_id"": ""P31"", ""measurement_basis"": ""Approximate bulk; round-object mapping pending verification"", ""measurement_value"": null, ""object_dimension_mm"": null, ""illustrative_only"": true, ""image_key"": ""honeydew"", ""image_path"": null, ""image_alt"": ""Your baby now has roughly the overall bulk of a honeydew melon."", ""hide_reason"": ""Product direction approved; measurement series, object dimensions and clinical review not verified"", ""proposed_planning_basis"": ""Roughly 1.4–1.7 kg; mapping must be independently verified"", ""proposal_source"": ""Kajal product review 2026-09-11; not a medical authority"", ""clinical_review_status"": ""pending"", ""editorial_review_status"": ""product_approved_2026-09-11"", ""artwork_status"": ""deferred_pending_verification""}"
