source_id,title,publisher,canonical_url,jurisdiction,document_type,topics,evidence_lane,status,publication_date,version_or_last_update,last_checked_at,reuse_status,allowed_use,license_or_reuse_note,prohibited_inferences,review,content_checksum,supersedes_source_id,journey_stages,selected_sections,snapshot_path,delivery_mode,attribution_text,max_quote_sections,retrieved_at,publisher_updated_at,next_review_at,revalidation_status,paraphrase_permission,commercial_permission
WHO-06,WHO perinatal mental-health guide,World Health Organization,https://www.who.int/publications/i/item/9789240057142,"[""GLOBAL""]",html,"[""wellbeing""]",guideline,candidate,,,2026-09-10,unverified,[],Official landing/reference page reachable. Exact document sections and document-level licence still pending; no landing-page text treated as guideline evidence. https://www.who.int/about/policies/publishing/copyright,"Candidate reference only; no individual diagnosis, treatment change, inferred clearance or unlabeled foreign care schedule.",null,,,[],[],,retrievable,,,,,,unverified,unverified,unverified
WHO-07,WHO postnatal-care guideline,World Health Organization,https://www.who.int/publications/i/item/9789240045989,"[""GLOBAL""]",html,"[""journey"", ""preparation""]",guideline,candidate,,,2026-09-10,unverified,[],Official landing/reference page reachable. Exact document sections and document-level licence still pending; no landing-page text treated as guideline evidence. https://www.who.int/about/policies/publishing/copyright,"Candidate reference only; no individual diagnosis, treatment change, inferred clearance or unlabeled foreign care schedule.",null,,,[],[],,retrievable,,,,,,unverified,unverified,unverified
WHO-08,WHO Postnatal Care Digital Adaptation Kit,World Health Organization,https://www.who.int/publications/i/item/9789240090347,"[""GLOBAL""]",html,"[""journey"", ""preparation""]",guideline,candidate,,,2026-09-10,unverified,[],Official landing/reference page reachable. Exact document sections and document-level licence still pending; no landing-page text treated as guideline evidence. https://www.who.int/about/policies/publishing/copyright,"Candidate reference only; no individual diagnosis, treatment change, inferred clearance or unlabeled foreign care schedule.",null,,,[],[],,retrievable,,,,,,unverified,unverified,unverified
WHO-09,WHO maternal intervention timing,World Health Organization,https://www.who.int/teams/maternal-newborn-child-adolescent-health-and-ageing/handbooks/programme-manager-s-handbook-mncah/recommendations-on-interventions-along-life-course/maternal,"[""GLOBAL""]",html,"[""journey"", ""preparation""]",guideline,candidate,,,2026-09-10,unverified,[],Official landing/reference page reachable. Exact document sections and document-level licence still pending; no landing-page text treated as guideline evidence. https://www.who.int/about/policies/publishing/copyright,"Candidate reference only; no individual diagnosis, treatment change, inferred clearance or unlabeled foreign care schedule.",null,,,[],[],,retrievable,,,,,,unverified,unverified,unverified
NHM-01,National Health Mission maternal-health guidelines,National Health Mission,https://www.nhm.gov.in/index1.php?lang=1&level=3&lid=377&sublinkid=839,"[""IN""]",index,"[""preparation""]",guideline,candidate,,,2026-09-10,unverified,[],Official index reachable; identified postnatal guidance and maternal guidance booklets. Exact downloads and their permissions remain pending.,"Candidate reference only; no individual diagnosis, treatment change, inferred clearance or unlabeled foreign care schedule.",null,,,[],[],,retrievable,,,,,,unverified,unverified,unverified
CDC-01,CDC urgent maternal warning signs,CDC,https://www.cdc.gov/hearher/maternal-warning-signs/index.html,"[""US""]",html,"[""symptoms""]",safety,candidate,,,2026-09-10,unverified,[],Official warning-sign page and agency reuse policy checked. Keep as safety-design candidate pending local policy and source-specific review; no safety rule implemented. https://www.cdc.gov/other/agencymaterials.html,"Candidate reference only; no individual diagnosis, treatment change, inferred clearance or unlabeled foreign care schedule.",null,,,[],[],,retrievable,,,,,,unverified,unverified,unverified
OWH-STAGES,Stages of pregnancy,"U.S. Department of Health and Human Services, Office on Women’s Health",https://womenshealth.gov/pregnancy/youre-pregnant-now-what/stages-pregnancy,"[""US""]",html,"[""journey""]",weekly_profile,candidate,,selected-2026-09-10-correction-v2,2026-09-10,permitted,"[""store"", ""embed"", ""display""]",Page footer expressly permits copying/reproduction without permission. Text only; exclude linked third-party content and images. Attribute HHS Office on Women’s Health and page URL/date. No endorsement. Publication still requires actual content review.,"US reference material only; no automatic India localisation, diagnosis, treatment, clearance, personalised development prediction or imported appointment schedule.",null,ecd0f6d2bf0d457d8b9d637db51c8b521fc9063e8bf1ab2ef288b793d16f052e,,"[""pregnancy""]","[""Introduction / gestational dating clause / expanded supporting unit"", ""First trimester (week 1-week 12) / symptom list / expanded supporting unit"", ""Your developing baby / At 24 weeks / first bullet"", ""Your developing baby / At 36 weeks / second bullet opening""]",guidelines/snapshots/OWH-STAGES-2026-09-10-v2.json,retrievable,,,2026-09-10,2025-09-26,2026-12-09,current_capture,permitted,unverified
OWH-TEST,Knowing if you are pregnant,"U.S. Department of Health and Human Services, Office on Women’s Health",https://womenshealth.gov/pregnancy/you-get-pregnant/knowing-if-you-are-pregnant,"[""US""]",html,"[""preparation""]",guideline,candidate,,page-updated-2025-09-26;selected-excerpts-2026-09-10-v1,2026-09-10,permitted,"[""store"", ""embed"", ""display""]",Page footer expressly permits copying/reproduction without permission. Text only; exclude linked third-party content and images. Attribute HHS Office on Women’s Health and page URL/date. No endorsement. Publication still requires actual content review.,"US reference material only; no automatic India localisation, diagnosis, treatment, clearance, personalised development prediction or imported appointment schedule.",null,ade694e95a762d16b87b3dced26f12b711692bc6f4a367753f6afd8caf98dd41,,"[""possible_pregnancy""]","[""Home pregnancy tests / directions paragraph""]",guidelines/snapshots/OWH-TEST-2026-09-10.json,retrievable,,,2026-09-10,2025-09-26,2026-12-09,current_capture,permitted,unverified
OWH-HEALTH,Staying healthy and safe,"U.S. Department of Health and Human Services, Office on Women’s Health",https://womenshealth.gov/pregnancy/youre-pregnant-now-what/staying-healthy-and-safe,"[""US""]",html,"[""movement"", ""nutrition"", ""preparation"", ""symptoms""]",guideline,candidate,,selected-2026-09-10-correction-v2,2026-09-10,permitted,"[""store"", ""embed"", ""display""]",Page footer expressly permits copying/reproduction without permission. Text only; exclude linked third-party content and images. Attribute HHS Office on Women’s Health and page URL/date. No endorsement. Publication still requires actual content review.,"US reference material only; no automatic India localisation, diagnosis, treatment, clearance, personalised development prediction or imported appointment schedule.",null,45fcc5a5e95e1dc6e4661b488f275424484a0f5b7499307ba7532c47eaf0c8bf,,"[""pregnancy""]","[""Food safety / produce bullet"", ""Getting started / consultation sentence"", ""Food safety / handling instruction and bullets"", ""Food safety / Do not eat / milk and sprouts bullets"", ""Using medicines / start-stop paragraph"", ""Getting started and Best activity for moms-to-be"", ""Tips for safe and healthy physical activity / first three bullets"", ""Tips / Stop exercising and call your doctor / complete list""]",guidelines/snapshots/OWH-HEALTH-2026-09-10-v2.json,retrievable,,,2026-09-10,2025-09-26,2026-12-09,current_capture,permitted,unverified
OWH-RECOVERY,Recovering from birth,"U.S. Department of Health and Human Services, Office on Women’s Health",https://womenshealth.gov/pregnancy/childbirth-and-beyond/recovering-birth,"[""US""]",html,"[""preparation"", ""followup""]",guideline,candidate,,page-updated-2025-09-26;selected-excerpts-2026-09-10-v1,2026-09-10,permitted,"[""store"", ""embed"", ""display""]",Page footer expressly permits copying/reproduction without permission. Text only; exclude linked third-party content and images. Attribute HHS Office on Women’s Health and page URL/date. No endorsement. Publication still requires actual content review.,"US reference material only; no automatic India localisation, diagnosis, treatment, clearance, personalised development prediction or imported appointment schedule.",null,173b43d518d65658732852c8db6094837dd3968f51eefaaacc667db9ce4a50b0,,"[""postpartum""]","[""Getting rest / second paragraph"", ""Physical changes / postpartum visit paragraph / selected clause""]",guidelines/snapshots/OWH-RECOVERY-2026-09-10.json,retrievable,,,2026-09-10,2025-09-26,2026-12-09,current_capture,permitted,unverified
OWH-WELLBEING,Postpartum depression,"U.S. Department of Health and Human Services, Office on Women’s Health",https://womenshealth.gov/mental-health/mental-health-conditions/postpartum-depression,"[""US""]",html,"[""wellbeing""]",guideline,candidate,,selected-2026-09-10-correction-v2,2026-09-10,permitted,"[""store"", ""embed"", ""display""]",Page footer expressly permits copying/reproduction without permission. Text only; exclude linked third-party content and images. Attribute HHS Office on Women’s Health and page URL/date. No endorsement. Publication still requires actual content review.,"US reference material only; no automatic India localisation, diagnosis, treatment, clearance, personalised development prediction or imported appointment schedule.",null,5dcefed3aac6146ee382e1d73d40a645c7a4849349ec92fd0e5fb4b0f7b97e0a,,"[""postpartum""]","[""What can I do at home to feel better while seeing a doctor for postpartum depression? / introduction clause / expanded supporting unit"", ""What can I do at home to feel better while seeing a doctor for postpartum depression? / feelings bullet / expanded supporting unit""]",guidelines/snapshots/OWH-WELLBEING-2026-09-10-v2.json,retrievable,,,2026-09-10,2023-10-17,2026-12-09,current_capture,permitted,unverified
BHC-WEEKS,Pregnancy - week by week,"State Government of Victoria, Better Health Channel",https://www.betterhealth.vic.gov.au/health/healthyliving/pregnancy-week-by-week,"[""AU""]",html,"[""journey""]",weekly_profile,candidate,,reviewed-2012-02-28;selected-2026-09-10-v1,2026-09-10,permitted,"[""store"", ""display""]","Two short direct quotations only, with quotation marks and Better Health Channel citation/link: https://www.betterhealth.vic.gov.au/about/terms-of-use section Reproducing information on the Internet. No embedding, model rewriting, images or paid access. Free capstone Internet display only; not commercial clearance. Candidate pending named content/localisation/currency review.","Educational source only. No personal diagnosis, medication changes, inferred exercise clearance, imported foreign care schedule or publisher endorsement.",null,55452c29947f2057053952bc85b151efaada75a5b6faacf6a7c60577a773e674,,"[""pregnancy""]","[""Pregnancy week 9 / first sentence"", ""Pregnancy week 10 / first sentence""]",guidelines/snapshots/BHC-WEEKS-2026-09-10.json,fixed_quote,"Better Health Channel, State Government of Victoria. Pregnancy - week by week (reviewed 28 February 2012; accessed 10 September 2026).",2,2026-09-10,2012-02-28,2026-12-09,needs_currency_review,restricted,restricted
NHM-MOTHERHOOD,My Safe Motherhood: Booklet for Expecting Mothers,"Ministry of Health and Family Welfare, Government of India",https://www.nhm.gov.in/images/pdf/programmes/maternal-health/guidelines/my_safe_motherhood_booklet_english.pdf,"[""IN""]",pdf,"[""followup"", ""movement"", ""nutrition"", ""preparation"", ""symptoms""]",guideline,candidate,,selected-2026-09-10-correction-v2,2026-09-10,permitted,"[""store"", ""embed"", ""display""]","NHM copyright policy permits attributed reproduction in accurate context: https://www.nhm.gov.in/nhm/about-nhm/index4.php?lang=1&level=0&lid=13&linkid=8 . Only original government text selected; no credited UNICEF/WHO illustrations. Source date not printed; older schedules/doses are excluded. Acknowledge Ministry of Health and Family Welfare, Government of India. Candidate pending currency/content review.","Educational source only. No personal diagnosis, medication changes, inferred exercise clearance, imported foreign care schedule or publisher endorsement.",null,4e2e1454f3418cb9573f1d45f634f7d40c4a290445f377ce188642a47cf93c49,,"[""postpartum"", ""pregnancy""]","[""Page 10 / bottom banner opening"", ""Page 12 / Rest during pregnancy / final bullet"", ""Page 16 / Postpartum care / rest bullet"", ""Page 9 / dairy bullet"", ""Page 9 / cereals and pulses sentence"", ""Page 9 / leafy-vegetables bullet"", ""Page 9 / non-vegetarian sources bullet"", ""Page 10 / proteins row"", ""Page 16 / day-of-delivery follow-up bullet"", ""Page 16 / postpartum rest bullet / day scope"", ""Page 16 / immediate-help bullet"", ""Page 14 / pregnancy danger signals and immediate-help instruction"", ""Page 16 / immediate-help instruction and Contact FRU list""]",guidelines/snapshots/NHM-MOTHERHOOD-2026-09-10-v2.json,retrievable,"Source: Ministry of Health and Family Welfare, Government of India. Selected for a free educational capstone; no endorsement.",,2026-09-10,,2026-12-09,needs_currency_review,permitted,unverified
NHM-CHO,Maternal Health: Role of Community Health Officers,"Ministry of Health and Family Welfare, Government of India",https://www.nhm.gov.in/New_Update-2022-23/MH/GUIDELINES-%20MH/CHO_Booklet_%20Maternal_Health-English.pdf,"[""IN""]",pdf,"[""followup"", ""preparation""]",guideline,candidate,,selected-2026-09-10-correction-v2,2026-09-10,permitted,"[""store"", ""embed"", ""display""]","Document page 4 explicitly permits reproduction and excerpts when distributed free of cost with source acknowledgement. Acknowledge Ministry of Health and Family Welfare, Government of India, February 2022. Free capstone only; no commercial clearance. Text only. Candidate pending named review.","Educational source only. No personal diagnosis, medication changes, inferred exercise clearance, imported foreign care schedule or publisher endorsement.",null,076c782288745a8ea81ada40bb63dfc17ebf2f591294dd20205d22e3e068e7cb,,"[""possible_pregnancy"", ""postpartum"", ""pregnancy""]","[""Page 11 / section 3.1 / first bullet"", ""Page 11 / section 3.1 / birth planning bullet"", ""Page 11 / 3.1 / complete PNC home-visit bullet"", ""Page 11 / 3.1 / registration bullet"", ""Page 11 / 3.1 / antenatal-check bullet"", ""Page 11 / 3.1 / testing bullet"", ""Page 11 / 3.1 / complete PNC home-visit bullet / day scope"", ""Page 11 / 3.1 / complete PNC home-visit bullet / week scope"", ""Page 11 / complete PNC schedule / selected day 1"", ""Page 11 / complete PNC schedule / selected day 3"", ""Page 11 / complete PNC schedule / selected day 7""]",guidelines/snapshots/NHM-CHO-2026-09-10-v2.json,retrievable,"Source: Ministry of Health and Family Welfare, Government of India. Selected for a free educational capstone; no endorsement.",,2026-09-10,,2026-12-09,needs_currency_review,permitted,restricted
NHS-PREG-MIND,Mental health in pregnancy,NHS,https://www.nhs.uk/pregnancy/mental-health-in-pregnancy-and-after-the-birth/mental-health/,"[""UK""]",html,"[""wellbeing""]",guideline,candidate,,reviewed-2026-03-11;selected-2026-09-10-v1,2026-09-10,permitted,"[""store"", ""embed"", ""display""]","Selected original text only; standard NHS terms section 3 and OGL v3.0: https://www.nhs.uk/our-policies/terms-and-conditions/ . Excludes Best Start in Life, third-party content, images and videos. Unchanged quotations must carry Information from the NHS website, as at 100926, linked to the source, and the OGL notice/link. Adapted wording uses the generic OGL attribution rather than implying NHS approval of Nestline wording. No endorsement. Named review pending.","Educational source only. No personal diagnosis, medication changes, inferred exercise clearance, imported foreign care schedule or publisher endorsement.",null,eaaa6862c95f19a409b059e50e7820fdd3fcfd856d27fc7e35c7f4f06b7d1448,,"[""pregnancy""]","[""Things you can do / Do / feelings bullet"", ""Things you can do / Do / enjoyment bullet""]",guidelines/snapshots/NHS-PREG-MIND-2026-09-10.json,retrievable,"Contains public sector information licensed under the Open Government Licence v3.0. Nestline wording is an adaptation, not NHS-approved content.",,2026-09-10,2026-03-11,2026-12-09,current_capture,permitted,unverified
NHS-PP-BODY,Your body after the birth,NHS,https://www.nhs.uk/pregnancy/labour-and-birth/your-body/,"[""UK""]",html,"[""journey""]",guideline,candidate,,selected-2026-09-10-correction-v2,2026-09-10,permitted,"[""store"", ""embed"", ""display""]","Selected original text only; standard NHS terms section 3 and OGL v3.0: https://www.nhs.uk/our-policies/terms-and-conditions/ . Excludes Best Start in Life, third-party content, images and videos. Unchanged quotations must carry Information from the NHS website, as at 100926, linked to the source, and the OGL notice/link. Adapted wording uses the generic OGL attribution rather than implying NHS approval of Nestline wording. No endorsement. Named review pending.","Educational source only. No personal diagnosis, medication changes, inferred exercise clearance, imported foreign care schedule or publisher endorsement.",null,fbc475eec72358ca1f209ce7c86517c1ea81105f7fa3a44e4670f87d2a915438,,"[""postpartum""]","[""How soon after giving birth can I get pregnant? / first clause / expanded supporting unit""]",guidelines/snapshots/NHS-PP-BODY-2026-09-10-v2.json,retrievable,"Contains public sector information licensed under the Open Government Licence v3.0. Nestline wording is an adaptation, not NHS-approved content.",,2026-09-10,2024-04-25,2026-12-09,current_capture,permitted,unverified
NHS-PP-DIET,Breastfeeding and diet,NHS,https://www.nhs.uk/baby/breastfeeding-and-bottle-feeding/breastfeeding-and-lifestyle/diet/,"[""UK""]",html,"[""nutrition""]",guideline,candidate,,reviewed-2026-05-15;selected-2026-09-10-v1,2026-09-10,permitted,"[""store"", ""embed"", ""display""]","Selected original text only; standard NHS terms section 3 and OGL v3.0: https://www.nhs.uk/our-policies/terms-and-conditions/ . Excludes Best Start in Life, third-party content, images and videos. Unchanged quotations must carry Information from the NHS website, as at 100926, linked to the source, and the OGL notice/link. Adapted wording uses the generic OGL attribution rather than implying NHS approval of Nestline wording. No endorsement. Named review pending.","Educational source only. No personal diagnosis, medication changes, inferred exercise clearance, imported foreign care schedule or publisher endorsement.",null,3c2b9015e53f3c4401398f13bf05c7a709ccdb507ec0a3bb0b21de770a673a38,,"[""postpartum""]","[""Introduction / first sentence""]",guidelines/snapshots/NHS-PP-DIET-2026-09-10.json,retrievable,"Contains public sector information licensed under the Open Government Licence v3.0. Nestline wording is an adaptation, not NHS-approved content.",,2026-09-10,2026-05-15,2026-12-09,current_capture,permitted,unverified
NHS-PP-ACTIVE,Keeping fit and healthy with a baby,NHS,https://www.nhs.uk/baby/support-and-services/keeping-fit-and-healthy-with-a-baby/,"[""UK""]",html,"[""movement"", ""wellbeing""]",guideline,candidate,,selected-2026-09-10-correction-v2,2026-09-10,permitted,"[""store"", ""embed"", ""display""]","Selected original text only; standard NHS terms section 3 and OGL v3.0: https://www.nhs.uk/our-policies/terms-and-conditions/ . Excludes Best Start in Life, third-party content, images and videos. Unchanged quotations must carry Information from the NHS website, as at 100926, linked to the source, and the OGL notice/link. Adapted wording uses the generic OGL attribution rather than implying NHS approval of Nestline wording. No endorsement. Named review pending.","Educational source only. No personal diagnosis, medication changes, inferred exercise clearance, imported foreign care schedule or publisher endorsement.",null,d6a264afc9773c8702ef3014e6d6e732f9f9919d233fd0e865b3dbeb3271a614,,"[""postpartum""]","[""When can I start exercising after birth? / complete complicated-delivery paragraph"", ""Look after your mental health / first bullet"", ""Look after your mental health / final bullet"", ""When can I start exercising after birth? / straightforward-birth paragraph"", ""Look after your mental health / concern paragraph"", ""Look after your mental health / help and rest bullets""]",guidelines/snapshots/NHS-PP-ACTIVE-2026-09-10-v2.json,retrievable,"Contains public sector information licensed under the Open Government Licence v3.0. Nestline wording is an adaptation, not NHS-approved content.",,2026-09-10,2026-04-20,2026-12-09,current_capture,permitted,unverified
NHS-PP-SUPPORT,Relationships after having a baby,NHS,https://www.nhs.uk/baby/support-and-services/relationships-after-having-a-baby/,"[""UK""]",html,"[""preparation""]",guideline,candidate,,selected-2026-09-10-correction-v2,2026-09-10,permitted,"[""store"", ""embed"", ""display""]","Selected original text only; standard NHS terms section 3 and OGL v3.0: https://www.nhs.uk/our-policies/terms-and-conditions/ . Excludes Best Start in Life, third-party content, images and videos. Unchanged quotations must carry Information from the NHS website, as at 100926, linked to the source, and the OGL notice/link. Adapted wording uses the generic OGL attribution rather than implying NHS approval of Nestline wording. No endorsement. Named review pending.","Educational source only. No personal diagnosis, medication changes, inferred exercise clearance, imported foreign care schedule or publisher endorsement.",null,6abb92e7c148c12a5f25f4d97a672fbf64b1b00cbbba51060d4ca200643d43e7,,"[""postpartum""]","[""Relationships with family and friends / help paragraph opening / expanded supporting unit""]",guidelines/snapshots/NHS-PP-SUPPORT-2026-09-10-v2.json,retrievable,"Contains public sector information licensed under the Open Government Licence v3.0. Nestline wording is an adaptation, not NHS-approved content.",,2026-09-10,2026-05-20,2026-12-09,current_capture,permitted,unverified
CDC-WARNINGS,Urgent Maternal Warning Signs and Symptoms,CDC,https://www.cdc.gov/hearher/maternal-warning-signs/index.html,"[""US""]",html,"[""symptoms""]",safety,candidate,,page-2024-05-15;link-checked-2026-09-10,2026-09-10,unverified,[],"Link-only reference. CDC credits AIM for this list; CDC policy excludes some third-party works. AIM/ACOG permits whole unmodified noncommercial documents, not automatically this extracted/adapted list. No copied CDC/AIM warning text or embedding is admitted. Review permissions before any ingestion. https://www.cdc.gov/other/agencymaterials.html ; https://saferbirth.org/aim-resources/aim-cornerstones/urgent-maternal-warning-signs/","US reference material only; no automatic India localisation, diagnosis, treatment, clearance, personalised development prediction or imported appointment schedule.",null,,,"[""postpartum"", ""pregnancy""]",[],,retrievable,Linked reference: CDC HEAR HER / AIM; no endorsement.,,2026-09-10,2024-05-15,2026-12-09,needs_currency_review,unverified,unverified
PIB-PMSMA,Pradhan Mantri Surakshit Matritva Abhiyaan: A Decade of Inclusive Maternal Healthcare Delivery,"Press Information Bureau, Government of India",https://static.pib.gov.in/WriteReadData/specificdocs/documents/2026/jun/doc202668887301.pdf,"[""IN""]",pdf,"[""followup""]",guideline,candidate,2026-06-08,selected-2026-09-10-correction-v2,2026-09-10,permitted,"[""store"", ""embed"", ""display""]","PIB copyright policy allows free attributed reproduction of original material without prior approval, except third-party content: https://www.pib.gov.in/ContentPage.aspx?lang=2&menuid=3604&reg=48 . Only original programme text selected; no pictures. No entitlement or local availability guarantee by Nestline.","Educational source only. No personal diagnosis, medication changes, inferred exercise clearance, imported foreign care schedule or publisher endorsement.",null,eb9f4ce246d1f68666d4d1bdf34401cde48ded6886896279fd1b462ab79119da,,"[""pregnancy""]","[""Page 2 / programme opening paragraph""]",guidelines/snapshots/PIB-PMSMA-2026-09-10-v2.json,retrievable,"Source: Press Information Bureau, Government of India, 8 June 2026.",,2026-09-10,2026-06-08,2026-12-09,current_capture,permitted,unverified
